20200508_SD_Ucpdd_K1;TX001;TX002;TX003;;;
;TSE LabMaster V6.3.3 (2017-3514);;;;;
Box;Animal No.; Weight [g];Genotype;Sex;Measurement;
546;30401338;26.2;Adipoq WT;male;Individual;
552;30296991;21.0;Adipoq WT;female;Individual;
551;30398600;22.8;Adipoq WT;female;Individual;
549;30262145;31.0;Adipoq WT;male;Individual;
550;30400692;20.9;Adipoq WT;female;Individual;
547;30302237;20.7;Adipoq WT;female;Individual;
548;30334547;29.7;Adipoq WT;male;Individual;
5;39;31.16;Adipoq KO;male;Individual;
2;24;29.88;Adipoq KO;male;Individual;
13;43;30.44;Adipoq KO;male;Individual;
0;38;33.51;Adipoq KO;male;Individual;
7;23;32.65;Adipoq KO;male;Individual;
1;42;30.04;Adipoq KO;male;Individual;
3;37;32.77;Adipoq KO;male;Individual;
;;;;;;
Date;Time;Animal No.;Box;VO2(3);VCO2(3);WeightBody
;;;;[ml/h];[ml/h];[g]
03/10/2015;11:39;38;male;85,542046;82,86725;33,51
04/10/2015;04:45;43;male;87,93215;82,93277;30,44
04/10/2015;03:53;23;male;81,867874;80,4193;32,65
03/10/2015;22:49;24;male;67,359505;61,09356;29,88
04/10/2015;15:59;38;male;89,42828;81,7976;33,51
03/10/2015;01:49;23;male;96,54753;87,081696;32,65
03/10/2015;17:53;38;male;74,46153;72,04868;33,51
03/10/2015;16:17;43;male;84,53887;72,9773;30,44
04/10/2015;12:25;24;male;130,3882;121,977196;29,88
04/10/2015;09:17;43;male;101,851616;94,40654;30,44
03/10/2015;13:21;38;male;80,049576;75,658165;33,51
04/10/2015;00:31;24;male;71,596954;63,179382;29,88
03/10/2015;18:49;23;male;54,514713;53,403584;32,65
03/10/2015;15:39;39;male;114,433586;109,77618;31,16
02/10/2015;23:13;39;male;106,12141;100,57894;31,16
03/10/2015;09:47;24;male;102,44692;91,19507;29,88
03/10/2015;17:41;23;male;55,025658;47,552242;32,65
04/10/2015;10:23;42;male;78,83648;77,64813;30,04
04/10/2015;13:49;43;male;84,74052;68,47319;30,44
03/10/2015;23:39;43;male;104,23989;99,8123;30,44
03/10/2015;00:51;37;male;69,05023;57,893997;32,77
03/10/2015;01:59;37;male;90,94726;69,41305;32,77
04/10/2015;04:29;24;male;132,30687;131,35768;29,88
02/10/2015;20:59;42;male;86,98926;86,12314;30,04
04/10/2015;15:31;43;male;90,65935;73,6686;30,44
04/10/2015;12:05;42;male;81,109436;75,83009;30,04
03/10/2015;16:43;37;male;73,583534;69,03913;32,77
03/10/2015;12:49;39;male;98,87721;95,30049;31,16
04/10/2015;00:43;39;male;79,60744;79,25406;31,16
03/10/2015;02:37;39;male;77,27119;74,305336;31,16
03/10/2015;22:47;23;male;61,058964;56,73723;32,65
03/10/2015;11:45;43;male;131,46803;127,8206;30,44
03/10/2015;17:51;37;male;77,160255;70,17567;32,77
03/10/2015;14:01;43;male;96,75431;76,35473;30,44
04/10/2015;12:41;43;male;128,85481;122,877686;30,44
03/10/2015;17:07;23;male;53,163715;46,741795;32,65
03/10/2015;23:01;39;male;81,5945;79,66804;31,16
03/10/2015;22:57;37;male;75,71093;67,93927;32,77
03/10/2015;03:41;37;male;132,91359;120,53323;32,77
03/10/2015;01:33;43;male;82,113914;77,82676;30,44
03/10/2015;12:53;43;male;120,91654;111,72985;30,44
04/10/2015;07:31;39;male;99,76032;96,29997;31,16
03/10/2015;20:09;38;male;70,49332;60,870266;33,51
03/10/2015;16:15;42;male;92,03566;93,33931;30,04
02/10/2015;20:53;37;male;74,00245;62,84715;32,77
04/10/2015;10:43;24;male;94,75451;86,865234;29,88
04/10/2015;10:55;39;male;131,91441;131,34001;31,16
02/10/2015;23:47;39;male;75,86368;66,00085;31,16
03/10/2015;18:27;38;male;63,11368;57,666813;33,51
03/10/2015;17:19;38;male;76,410194;65,101074;33,51
03/10/2015;22:25;38;male;75,33332;70,025566;33,51
03/10/2015;23:31;37;male;71,801315;62,16865;32,77
02/10/2015;21:27;37;male;69,81382;64,172424;32,77
03/10/2015;15:41;42;male;80,9753;79,8247;30,04
02/10/2015;23:51;43;male;89,35858;81,07243;30,44
03/10/2015;14:51;23;male;47,38804;45,239563;32,65
03/10/2015;10:35;42;male;93,51849;96,9325;30,04
03/10/2015;18:25;37;male;69,57689;62,07584;32,77
04/10/2015;08:09;43;male;140,24687;137,23361;30,44
04/10/2015;14:21;42;male;83,85732;77,07055;30,04
03/10/2015;07:29;23;male;96,16811;92,350235;32,65
03/10/2015;03:43;38;male;103,47831;97,94561;33,51
03/10/2015;13:09;23;male;83,050804;78,290276;32,65
03/10/2015;05:13;23;male;96,28594;92,55161;32,65
04/10/2015;09:13;39;male;95,083244;93,5987;31,16
04/10/2015;09:11;38;male;117,78972;115,30939;33,51
03/10/2015;09:23;38;male;113,01099;109,19203;33,51
03/10/2015;19:39;42;male;84,62669;86,95108;30,04
04/10/2015;09:01;24;male;74,009476;70,37219;29,88
04/10/2015;13:31;23;male;62,16393;58,384693;32,65
03/10/2015;13:23;39;male;114,060326;111,92477;31,16
04/10/2015;02:29;43;male;118,69845;116,873985;30,44
04/10/2015;11:15;23;male;83,646194;79,054955;32,65
03/10/2015;19:25;24;male;63,890087;58,66438;29,88
03/10/2015;00:53;38;male;72,55199;62,06513;33,51
04/10/2015;05:53;43;male;132,65337;132,3656;30,44
03/10/2015;03:11;39;male;85,16457;74,445335;31,16
03/10/2015;09:27;42;male;106,46517;111,613266;30,04
03/10/2015;11:11;43;male;102,509026;94,99508;30,44
04/10/2015;03:03;43;male;115,413994;112,82759;30,44
04/10/2015;04:11;43;male;107,20403;106,16744;30,44
03/10/2015;20:41;37;male;83,608345;78,25143;32,77
04/10/2015;04:41;39;male;131,6092;121,04212;31,16
03/10/2015;11:27;23;male;65,2425;61,657234;32,65
04/10/2015;07:53;24;male;81,47157;72,36593;29,88
03/10/2015;03:33;24;male;122,06258;118,18473;29,88
03/10/2015;04:51;38;male;117,63798;111,28361;33,51
03/10/2015;08:39;24;male;109,79797;103,53397;29,88
02/10/2015;23:11;38;male;73,27056;64,7062;33,51
04/10/2015;13:09;38;male;77,77862;71,66365;33,51
03/10/2015;04:21;42;male;115,17177;113,18747;30,04
03/10/2015;03:13;42;male;134,24583;134,16846;30,04
04/10/2015;06:09;23;male;93,33517;93,62061;32,65
04/10/2015;00:09;39;male;79,93729;80,167496;31,16
03/10/2015;09:25;39;male;130,01173;128,94197;31,16
03/10/2015;08:51;39;male;94,69292;91,81347;31,16
04/10/2015;02:55;37;male;110,40286;107,91558;32,77
02/10/2015;23:35;24;male;71,07548;58,365017;29,88
03/10/2015;00:19;38;male;76,48115;63,554745;33,51
03/10/2015;21:15;37;male;69,56026;62,076195;32,77
03/10/2015;05:47;23;male;107,313225;101,56655;32,65
04/10/2015;03:29;37;male;95,64021;91,35633;32,77
03/10/2015;16:49;42;male;94,32434;92,9661;30,04
04/10/2015;11:29;39;male;128,99297;126,64539;31,16
03/10/2015;03:09;38;male;93,13426;87,33884;33,51
03/10/2015;03:07;37;male;96,836296;83,7065;32,77
03/10/2015;17:17;37;male;68,05235;58,759594;32,77
03/10/2015;20:49;43;male;101,438965;87,99159;30,44
03/10/2015;11:09;42;male;87,895164;92,73037;30,04
03/10/2015;22:29;42;male;88,49279;84,21826;30,04
04/10/2015;08:35;37;male;119,996506;114,87736;32,77
03/10/2015;05:57;37;male;143,07639;138,04033;32,77
03/10/2015;11:41;39;male;81,04183;75,13189;31,16
04/10/2015;03:19;23;male;75,99724;73,80587;32,65
04/10/2015;12:01;38;male;138,93869;134,28522;33,51
02/10/2015;23:49;42;male;85,651;81,862305;30,04
03/10/2015;07:05;37;male;137,1632;131,14842;32,77
04/10/2015;10:59;43;male;102,49483;89,249794;30,44
03/10/2015;19:57;23;male;58,700962;47,752216;32,65
04/10/2015;08:37;38;male;118,3087;117,23332;33,51
03/10/2015;01:51;24;male;108,20676;101,286644;29,88
