"";"Animal No._NA";"VO2(3)_[ml/h]";"VCO2(3)_[ml/h]";"RER_NA";"Datetime";"LightC_[%]";"Box_NA.x";"Datetime2";"hour";"minutes";"MeasPoint";"diff.sec";"running_total.sec";"running_total.hrs";"running_total.hrs.round";"timeintervalinmin";"running_total.hrs.halfhour";"HP";"HP2";"Animals";"Box_NA.y";"Weight..g."
"4679";235;43;35;0,815;"09/03/2023 17:21";99;7;2023-03-09 17:21:00;17;21;752;900;718200;199,5;199;0,333333333333333;199,333333333333;241,35126;241,03435;"235";"7";"21.5"
"4680";235;74;73;0,984;"06/03/2023 02:21";0;7;2023-03-06 02:21:00;2;21;424;900;405000;112,5;112;0,333333333333333;112,333333333333;436,208688;432,68688;"235";"7";"21.5"
"4681";235;54;92;1,705;"06/03/2023 18:36";0;7;2023-03-06 18:36:00;18;36;486;900;463500;128,8;128;0,5;128,5;383,25636;371,4201;"235";"7";"21.5"
"4682";235;114;28;0,243;"06/03/2023 13:06";99;7;2023-03-06 13:06:00;13;6;465;900;443700;123,2;123;0;123;531,094536;545,77386;"235";"7";"21.5"
"4683";235;92;89;0,974;"04/03/2023 01:21";0;7;2023-03-04 01:21:00;1;21;240;900;228600;63,5;63;0,333333333333333;63,3333333333333;540,778944;536,61944;"235";"7";"21.5"
"4684";235;76;66;0,864;"09/03/2023 05:06";0;7;2023-03-09 05:06:00;5;6;706;900;674100;187,2;187;0;187;432,785952;431,33952;"235";"7";"21.5"
"4685";235;51;44;0,868;"04/03/2023 12:21";99;7;2023-03-04 12:21:00;12;21;281;900;268200;74,5;74;0,333333333333333;74,3333333333333;290,762424;289,74324;"235";"7";"21.5"
"4686";235;87;70;0,804;"07/03/2023 05:21";0;7;2023-03-07 05:21:00;5;21;526;900;502200;139,5;139;0,333333333333333;139,333333333333;486,719064;486,30564;"235";"7";"21.5"
"4687";235;78;72;0,924;"03/03/2023 04:06";0;7;2023-03-03 04:06:00;4;6;160;900;152100;42,2;42;0;42;451,981296;449,38296;"235";"7";"21.5"
"4688";235;40;37;0,921;"06/03/2023 04:21";0;7;2023-03-06 04:21:00;4;21;432;900;412200;114,5;114;0,333333333333333;114,333333333333;231,58512;230,2812;"235";"7";"21.5"
"4689";235;101;87;0,869;"07/03/2023 22:21";0;7;2023-03-07 22:21:00;22;21;590;900;563400;156,5;156;0,333333333333333;156,333333333333;575,992092;573,94967;"235";"7";"21.5"
"4690";235;43;38;0,9;"06/03/2023 06:21";99;7;2023-03-06 06:21:00;6;21;439;1800;419400;116,5;116;0,333333333333333;116,333333333333;247,4478;246,261;"235";"7";"21.5"
"4691";235;51;44;0,871;"09/03/2023 12:36";99;7;2023-03-09 12:36:00;12;36;734;900;701100;194,8;194;0,5;194,5;291,017628;289,96203;"235";"7";"21.5"
"4692";235;76;66;0,873;"07/03/2023 05:36";0;7;2023-03-07 05:36:00;5;36;527;900;503100;139,8;139;0,5;139,5;433,926864;432,31764;"235";"7";"21.5"
"4693";235;84;82;0,978;"04/03/2023 19:51";0;7;2023-03-04 19:51:00;19;51;310;900;295200;82;82;0,833333333333333;82,8333333333333;494,315136;490,43736;"235";"7";"21.5"
"4694";235;84;81;0,958;"09/03/2023 23:36";0;7;2023-03-09 23:36:00;23;36;775;1800;740700;205,8;205;0,5;205,5;491,512896;488,03496;"235";"7";"21.5"
"4695";235;58;52;0,894;"01/03/2023 16:36";99;7;2023-03-01 16:36:00;16;36;26;900;24300;6,8;6;0,5;6,5;333,186336;331,66836;"235";"7";"21.5"
"4696";235;37;36;0,962;"06/03/2023 06:36";99;7;2023-03-06 06:36:00;6;36;440;900;420300;116,8;116;0,5;116,5;216,746592;215,17942;"235";"7";"21.5"
"4697";235;37;27;0,725;"08/03/2023 13:36";99;7;2023-03-08 13:36:00;13;36;647;1800;618300;171,8;171;0,5;171,5;202,1199;202,63975;"235";"7";"21.5"
"4698";235;129;125;0,972;"03/03/2023 22:36";0;7;2023-03-03 22:36:00;22;36;230;900;218700;60,8;60;0,5;60,5;757,835784;752,06484;"235";"7";"21.5"
"4699";235;33;29;0,875;"05/03/2023 12:51";99;7;2023-03-05 12:51:00;12;51;374;900;356400;99;99;0,833333333333333;99,8333333333333;188,5257;187,81125;"235";"7";"21.5"
"4700";235;55;61;1,104;"06/03/2023 19:21";0;7;2023-03-06 19:21:00;19;21;488;900;466200;129,5;129;0,333333333333333;129,333333333333;335,21796;331,0296;"235";"7";"21.5"
"4701";235;62;57;0,917;"01/03/2023 18:36";0;7;2023-03-01 18:36:00;18;36;34;900;31500;8,8;8;0,5;8,5;358,543272;356,58122;"235";"7";"21.5"
"4702";235;37;36;0,96;"05/03/2023 06:51";99;7;2023-03-05 06:51:00;6;51;351;900;334800;93;93;0,833333333333333;93,8333333333333;216,62316;215,0736;"235";"7";"21.5"
"4703";235;46;48;1,035;"07/03/2023 06:06";99;7;2023-03-07 06:06:00;6;6;529;900;504900;140,2;140;0;140;275,06988;272,3223;"235";"7";"21.5"
"4704";235;85;80;0,943;"06/03/2023 01:36";0;7;2023-03-06 01:36:00;1;36;422;900;402300;111,8;111;0,5;111,5;495,23754;492,02165;"235";"7";"21.5"
