timestep	day	time	daytime	5058	7564	7566	7728
176	day_2	05:19	day	0.599877359499772	0.5349506462480432	0.534657123572281	0.418880021426956
177	day_2	05:34	day	0.6107406918422842	0.5156808575803633	0.45454588980859273	0.42479912959241795
178	day_2	05:49	day	0.571218792744561	0.6003528222970622	0.38947447204317925	0.4660183385096367
179	day_2	06:04	day	0.5265960154617375	0.49275887730474355	0.4202796728934417	0.3297063479239783
180	day_2	06:19	day	0.6754086351465085	0.429453957733536	0.5125400429245921	0.3969823603696382
181	day_2	06:34	day	0.6013447160270805	0.3993713024196003	0.4636882714867851	0.377238169146557
182	day_2	06:49	day	0.5285108811575638	0.3744282560490007	0.4193774506788393	0.37498041805096033
183	day_2	07:04	day	0.5391771830706426	0.42285096183767157	0.3469336726975295	0.36703411298089406
184	day_2	07:19	day	0.5159277985923222	0.4001815830934144	0.3263569375428558	0.3573265987770863
185	day_2	07:34	day	0.5310225830107004	0.3628380319754632	0.4030914770487624	0.3470385421783779
186	day_2	07:49	day	0.5630939637228054	0.40769750836135266	0.35640814474070875	0.6188319991339091
187	day_2	08:04	day	0.5206877906630154	0.5076166823889657	0.3205560707344787	0.34029256295576565
188	day_2	08:19	day	0.5050418832391095	0.3847845789892788	0.294010180925886	0.3816974123694372
189	day_2	08:34	day	0.5119793319456362	0.356437685267993	0.29366836348764763	0.3782975367133775
190	day_2	08:49	day	0.49636647834220815	0.29621024906583787	0.30141832566659477	0.3857169943184769
191	day_2	09:04	day	0.5402934562389574	0.29319085427252534	0.43299969743157696	0.35796083610192064
192	day_2	09:19	day	0.5205753474073737	0.40885096183767156	0.38516738014027274	0.3871017172229807
193	day_3	09:34	day	0.5373133035977484	0.36175203405819284	0.394	0.33452816806394325
194	day_3	09:49	day	0.5171146317771692	0.34385096183767155	0.3242142532962404	0.35119014685351
195	day_3	10:04	day	0.5122397343641159	0.34267751497702864	0.30413774506788394	0.3627656383312253
196	day_3	10:19	day	0.4820854078693647	0.3018877640428665	0.2970866891542424	0.40273851858619447
197	day_3	10:34	day	0.5454177381303311	0.35471819614088607	0.3156071266481202	0.3772205295161952
198	day_3	10:49	day	0.5089272514619403	0.3464295490352215	0.3545354063142837	0.33008726335069977
199	day_3	11:04	day	0.49516725939124706	0.32921412802450034	0.34342744760300015	0.4203657626751656
200	day_3	11:19	day	0.5056668490434606	0.3383049195712075	0.38970339159140255	0.3850972880254969
201	day_3	11:34	day	0.4938021488749937	0.3384783664318504	0.35660203618517716	0.36456096044586095
202	day_3	11:49	day	0.49139624938039456	0.3398997792343005	0.32314792599376996	0.3395995026242388
203	day_3	12:04	day	0.4949379958369086	0.3360882055742655	0.30628567106165383	0.37360711757980347
204	day_3	12:19	day	0.4936571989292561	0.37852626915770504	0.30793876316047253	0.39189261014013255
205	day_3	12:34	day	0.5153565546628127	0.27346877917297674	0.3037754144936621	0.39729248579619225
206	day_3	12:49	day	0.5711162731683149	0.4406723430321453	0.33780565470289703	0.38057549147771536
207	day_3	13:04	day	0.5860633719890461	0.3907845789892788	0.3255458898085927	0.3785413784968213
208	day_3	13:19	day	0.5174271146793448	0.3493468937212858	0.30413774506788394	0.39213583020387477
209	day_3	13:34	day	0.5125210784021502	0.3356693787442572	0.28015301645671287	0.3739229928028177
210	day_3	13:49	day	0.5014590742390588	0.3214620939663075	0.28640814474070875	0.4252924857961922
211	day_3	14:04	day	0.5187189295271566	0.30600813623277145	0.29648465296906523	0.39468288133758284
212	day_3	14:19	day	0.5070529011792688	0.31728864710566457	0.34075999182062156	0.38375110729937095
213	day_3	14:34	day	0.5960741163640144	0.3338509618376716	0.30807141776541347	0.39189261014013255
214	day_3	14:49	day	0.5366042977499874	0.3223794386523718	0.3122040723703544	0.38387302819109287
215	day_3	15:04	day	0.5244169174347584	0.32611520024502166	0.30260203618517717	0.4063398863695377
216	day_3	15:19	day	0.5448335613043258	0.3358509618376716	0.31107141776541347	0.36942077820407576
217	day_3	15:34	day	0.546928072157513	0.33760299589586446	0.41530588162921434	0.4042242598344041
218	day_3	15:49	day	0.5577084587173793	0.3567104382235611	0.4132796728934417	0.3970145310318544
219	day_3	16:04	day	0.5383753077608399	0.5960111005206596	0.42344841459161814	0.38190714117198693
220	day_3	16:19	day	0.5319796055108271	0.6007250393874367	0.38214792599376995	0.36125837281529816
