20200508_SD_Ucpdd_K1;TX001;TX002;TX003;;;
;TSE LabMaster V6.3.3 (2017-3514);;;;;
Box;Animal No.; Weight [g];Genotype;Sex;Measurement;
19/05/2015;23:30;30332480;male;93,0;93,0;28,7
24/03/2015;01:30;30327906;male;66,0;66,0;27,0
04/11/2014;03:30;30314490;male;90,0;90,0;27,9
20/05/2015;03:30;30332410;female;51,0;51,0;26,8
19/05/2015;23:00;30332401;female;76,0;76,0;25,4
03/11/2014;12:45;30314498;male;90,0;90,0;30,9
20/05/2015;07:45;30332410;female;42,0;42,0;26,8
03/11/2014;15:45;30314512;female;61,0;61,0;26,3
04/11/2014;04:45;30314512;female;98,0;98,0;26,3
18/06/2014;03:46;30300777;male;92,0;92,0;27,5
18/06/2014;00:46;30300775;female;46,0;46,0;24,0
19/05/2015;12:00;30332480;male;97,0;97,0;28,7
03/11/2014;18:00;30314512;female;88,0;88,0;26,3
20/05/2015;01:00;30332410;female;59,0;59,0;26,8
20/05/2015;07:30;30332401;female;37,0;37,0;25,4
20/05/2015;06:00;30332401;female;46,0;46,0;25,4
26/01/2015;15:45;30322409;female;55,0;55,0;22,7
19/05/2015;20:30;30332401;female;78,0;78,0;25,4
04/11/2014;00:15;30314512;female;73,0;73,0;26,3
26/01/2015;20:00;30322409;female;71,0;71,0;22,7
27/01/2015;07:15;30322409;female;65,0;65,0;22,7
20/05/2015;03:45;30332406;male;70,0;70,0;32,4
04/11/2014;02:00;30314512;female;76,0;76,0;26,3
19/05/2015;16:00;30332406;male;85,0;85,0;32,4
19/05/2015;21:30;30332401;female;81,0;81,0;25,4
18/06/2014;08:01;30300781;female;85,0;85,0;23,3
19/05/2015;22:15;30332480;male;97,0;97,0;28,7
24/03/2015;02:00;30327906;male;67,0;67,0;27,0
03/11/2014;22:00;30314512;female;80,0;80,0;26,3
17/06/2014;21:46;30300774;female;84,0;84,0;21,5
17/06/2014;17:31;30300781;female;87,0;87,0;23,3
27/01/2015;03:15;30322409;female;73,0;73,0;22,7
20/05/2015;08:00;30332410;female;36,0;36,0;26,8
20/05/2015;05:15;30332406;male;87,0;87,0;32,4
19/05/2015;13:00;30332410;female;48,0;48,0;26,8
18/06/2014;02:16;30300774;female;83,0;83,0;21,5
19/05/2015;19:30;30332406;male;83,0;83,0;32,4
17/06/2014;13:16;30300781;female;70,0;70,0;23,3
19/05/2015;22:30;30332406;male;62,0;62,0;32,4
17/06/2014;11:46;30300781;female;76,0;76,0;23,3
20/05/2015;07:00;30332401;female;39,0;39,0;25,4
04/11/2014;01:30;30314512;female;99,0;99,0;26,3
03/11/2014;14:30;30314490;male;66,0;66,0;27,9
03/11/2014;14:30;30314498;male;52,0;52,0;30,9
17/06/2014;16:01;30300775;female;73,0;73,0;24,0
17/06/2014;19:01;30300774;female;85,0;85,0;21,5
04/11/2014;06:00;30314498;male;34,0;34,0;30,9
23/03/2015;15:30;30327906;male;67,0;67,0;27,0
24/03/2015;01:00;30327906;male;93,0;93,0;27,0
04/11/2014;08:15;30314512;female;90,0;90,0;26,3
17/06/2014;15:01;30300781;female;67,0;67,0;23,3
03/11/2014;16:45;30314498;male;62,0;62,0;30,9
04/11/2014;03:45;30314490;male;99,0;99,0;27,9
23/03/2015;22:15;30327906;male;97,0;97,0;27,0
27/01/2015;06:15;30322409;female;56,0;56,0;22,7
20/05/2015;01:00;30332480;male;59,0;59,0;28,7
04/11/2014;02:15;30314498;male;69,0;69,0;30,9
20/05/2015;03:15;30332401;female;64,0;64,0;25,4
18/06/2014;03:16;30300777;male;92,0;92,0;27,5
17/06/2014;16:16;30300777;male;83,0;83,0;27,5
24/03/2015;01:45;30327906;male;60,0;60,0;27,0
20/05/2015;01:15;30332480;male;55,0;55,0;28,7
19/05/2015;17:15;30332410;female;82,0;82,0;26,8
27/01/2015;04:00;30322409;female;89,0;89,0;22,7
04/11/2014;05:30;30314512;female;80,0;80,0;26,3
19/05/2015;12:15;30332410;female;67,0;67,0;26,8
23/03/2015;13:45;30327906;male;57,0;57,0;27,0
24/03/2015;05:00;30327907;male;88,0;88,0;26,2
27/01/2015;06:30;30322409;female;57,0;57,0;22,7
04/11/2014;01:45;30314490;male;67,0;67,0;27,9
17/06/2014;13:01;30300777;male;55,0;55,0;27,5
03/11/2014;14:30;30314512;female;56,0;56,0;26,3
17/06/2014;21:46;30300777;male;94,0;94,0;27,5
23/03/2015;20:15;30327907;male;103,0;103,0;26,2
24/03/2015;04:30;30327907;male;84,0;84,0;26,2
04/11/2014;04:15;30314498;male;38,0;38,0;30,9
04/11/2014;07:00;30314498;male;64,0;64,0;30,9
27/01/2015;02:30;30322409;female;56,0;56,0;22,7
