"";"Genotype";"Animal";"Time";"HP2.mean";"HP2.sd";"VO2.mean";"VO2.sd";"VCO2.mean";"VCO2.sd";"RER.mean";"RER.sd"
"172";"ko";2265;42;319,715999166667;64,7077927887875;56,8333333333333;11,191176177794;47,25;10,6183802907977;0,825166666666667;0,0262949470892079
"173";"wt";2195;43;333,498691666667;64,7911282804244;59,25;11,3628181523615;49,25;10,1544884836035;0,829916666666667;0,0197090580621442
"174";"wt";2262;43;383,590003333333;53,3394114087666;68,25;9,28464029753148;56,5;8,42614977317636;0,824083333333333;0,0201965718663221
"175";"ko";2263;43;383,377735833333;87,7976787846992;67,6666666666667;15,2096460620664;58,1666666666667;14,2499335458312;0,854083333333333;0,0243887393290552
"176";"ko";2265;43;250,417985833333;37,5971905994169;44,75;6,57992815655722;36,25;5,8949130612758;0,807083333333333;0,0150662677608764
"177";"wt";2195;44;313,857928333333;50,6890641595186;55,75;9,02647620765007;46,4166666666667;7,46456274470896;0,83225;0,0141043191321601
"178";"wt";2262;44;298,445261666667;56,1578485902248;53,4166666666667;9,82074180991282;42,9166666666667;8,83647742787437;0,799666666666667;0,0185880378608166
"179";"ko";2263;44;340,069071666667;59,038352984528;60;10,4010488981553;51,3333333333333;8,92731592904439;0,8585;0,0109419958292476
"180";"ko";2265;44;299,657688333333;67,6332608422232;53,25;11,8100496496532;44,3333333333333;10,5944525220714;0,827;0,0268023065493184
"181";"wt";2195;45;330,439595;67,0777012359686;58,25;11,4663539421768;50,0833333333333;11,3254205888855;0,85825;0,0291769678778562
"182";"wt";2262;45;282,989531666667;42,9153658156416;50,5833333333333;7,47673158214973;40,8333333333333;6,88652615069764;0,80575;0,0177463184402235
"183";"ko";2263;45;334,2332725;72,6859100477168;59;12,6419216030705;50,5;11,7202233922241;0,85425;0,0160800554046988
"184";"ko";2265;45;251,732193333333;44,7888757240418;44,5;7,90281882966739;37,8333333333333;6,75322594069387;0,850833333333333;0,0168081870383201
"185";"wt";2195;46;274,301998333333;45,8517301255038;48,5;7,81024967590665;41,4166666666667;7,72785202819625;0,847333333333333;0,0240806724963982
"186";"wt";2262;46;304,020788333333;57,4635315517903;54,5;10,0859938889171;43,3333333333333;8,96795642408249;0,793416666666667;0,02559281977904
"187";"ko";2263;46;327,760696666667;49,4616636810775;57,6666666666667;8,68994542647717;50,1666666666667;7,68508985377569;0,86975;0,0205476165395052
"188";"ko";2265;46;260,4272025;57,6406325018087;46;10,2069495042259;39,3333333333333;8,61640436855329;0,854166666666667;0,0190302789036713
"189";"wt";2195;47;319,457400833333;69,6771013629101;56,0833333333333;12,0563701256249;49,4166666666667;11,26102153717;0,876833333333333;0,0248187368125313
